RPL35A	RPS14
RPL35A	RPS24
RPL35A	RPS20
RPL35A	SRP54
RPL35A	RPS15
RPL35A	RPS19
RPL35A	RPS28
RPL35A	RPS10
RPL35A	RPS7
RPL35A	RPS17
RPL5	SBDS
RPL5	TP53
RPL5	RPS15A
RPL5	RPS26
RPL5	TSR2
RPL5	SRP54
RPL5	RPS29
RPL5	RPS14
RPL5	RPS19
RPL5	RPS24
RPL5	RPS10
RPL5	RPS20
RPL5	RPS15
RPL5	RPS17
RPL5	RPS7
RPL5	RPS28
RPS10	TP53
RPS10	RPS15A
RPS10	RPS26
RPS10	TSR2
RPS10	RPS29
RPS10	RPS14
RPS10	RPS24
RPS10	RPS20
RPS10	SRP54
RPS10	RPS15
RPS10	RPS19
RPS10	RPS28
RPS10	RPS7
RPS10	RPS17
RPS14	SBDS
RPS14	TP53
RPS14	RPS15A
RPS14	RPS26
RPS14	TSR2
RPS14	RPS29
RPS14	SRP54
RPS14	RPS19
RPS14	RPS24
RPS14	RPS20
RPS14	RPS15
RPS14	RPS17
RPS14	RPS7
RPS14	RPS28
RPS15	SBDS
RPS15	TP53
RPS15	RPS15A
RPS15	RPS26
RPS15	RPS29
RPS15	RPS24
RPS15	RPS20
RPS15	SRP54
RPS15	RPS28
RPS15	RPS7
RPS15	RPS17
RPS15	RPS19
RPS15A	SBDS
RPS15A	TSR2
RPS15A	SRP54
RPS15A	RPS26
RPS15A	RPS29
RPS15A	RPS17
RPS15A	RPS28
RPS15A	RPS7
RPS15A	RPS20
RPS15A	RPS24
RPS15A	RPS19
RPS17	SBDS
RPS17	RPS26
RPS17	TSR2
RPS17	RPS29
RPS17	RPS24
RPS17	RPS20
RPS17	SRP54
RPS17	RPS19
RPS17	RPS28
RPS17	RPS7
RPS19	SBDS
RPS19	TP53
RPS19	RPS26
RPS19	TSR2
RPS19	RPS29
RPS19	RPS24
RPS19	RPS20
RPS19	SRP54
RPS19	RPS7
RPS19	RPS28
RPS20	SBDS
RPS20	RPS26
RPS20	TSR2
RPS20	RPS29
RPS20	RPS24
RPS20	SRP54
RPS20	RPS28
RPS20	RPS7
